hs1	LINC00917-FENDRR	chr16:86,430,087-86,430,726	chr8:123,526,795-123,527,412
hs661	LMO3-SKP1P2	chr12:16,940,708-16,942,322	chr6:138,530,240-138,531,869
hs662	GPD2-GALNT5	chr2:157,720,628-157,721,586	chr2:57,524,292-57,525,243
hs663	ARHGAP15(intragenic)	chr2:144,115,008-144,116,735	chr2:43,844,807-43,846,630
hs666	IL20RB-SOX14	chr3:137,360,823-137,361,964	chr9:99,894,764-99,895,859
hs667	LOC389895-SOX3	chrX:139,332,133-139,333,376	chrX:57,972,482-57,973,750
hs668	ANXA1-MIR6130	chr9:76,154,764-76,155,512	chr19:20,109,514-20,110,246
hs669	SLC26A7-RUNX1T1	chr8:92,824,759-92,826,618	chr4:13,951,747-13,953,573
hs671	DPYD-AS1(intragenic)	chr1:97,610,491-97,611,741	chr3:119,064,359-119,065,611
hs672	FAM204A(intragenic)	chr10:120,074,039-120,075,696	chr19:60,278,961-60,280,625
hs675	ARHGAP15(intragenic)	chr2:144,103,882-144,105,644	chr2:43,833,258-43,835,027
hs676	MIR548H3(intragenic)	chr6:97,544,611-97,545,759	chr4:24,596,353-24,597,477
hs677	PEX14(intragenic)	chr1:10,593,123-10,594,209	chr4:148,418,158-148,419,242
hs678	CHIC2-GSX2	chr4:54,961,998-54,962,796	chr5:75,467,413-75,468,226
hs679	SKOR2-SMAD2	chr18:45,087,290-45,088,074	chr18:76,794,866-76,795,644
hs680	AGPAT9-NKX6-1	chr4:85,245,591-85,246,555	chr5:101,925,975-101,926,925
hs681	INSC-SOX6	chr11:15,321,699-15,322,906	chr7:122,040,062-122,041,265
hs682	ARRDC3-AS1-NR2F1-AS1	chr5:91,298,184-91,298,993	chr13:80,335,418-80,336,226
hs683	C1orf87-LOC101926964	chr1:61,086,857-61,087,871	chr4:97,044,275-97,045,293
hs684	MDFIC-TFEC	chr7:115,113,551-115,114,543	chr6:16,263,991-16,264,976
hs686	ZNF521(intragenic)	chr18:22,723,676-22,724,605	chr18:13,927,244-13,928,169
hs687	CHIC2(intragenic)	chr4:54,881,222-54,882,455	chr5:75,408,486-75,409,693
hs688	RALGAPA2(intragenic)	chr20:20,472,953-20,474,200	chr2:146,150,437-146,151,668
hs689	LOC101929570-FIGN	chr2:164,180,913-164,182,192	chr2:63,507,435-63,508,708
hs690	EHBP1(intragenic)	chr2:63,193,855-63,194,929	chr11:21,978,419-21,979,455
hs691	KCNJ3-AC093375.1	chr2:156,762,038-156,763,191	chr2:56,444,103-56,445,254
hs692	INSC-SOX6	chr11:15,587,041-15,588,314	chr7:122,274,934-122,276,253
hs693	RANBP17(intragenic)	chr5:170,471,253-170,472,370	chr11:33,292,412-33,293,558
hs695	OTP-TBCA	chr5:76,935,225-76,936,266	chr13:95,643,799-95,644,832
hs696	MGMT(intragenic)	chr10:131,404,068-131,405,310	chr7:144,196,721-144,198,004
hs697	SKAP1(intragenic)	chr17:46,226,552-46,227,693	chr11:96,602,789-96,603,922
hs698	ST18(intragenic)	chr8:53,166,730-53,167,836	chr1:6,719,313-6,720,398
hs699	MKI67-MGMT	chr10:130,831,457-130,833,175	chr7:143,682,303-143,684,072
hs700	LMO3-SKP1P2	chr12:17,033,316-17,034,417	chr6:138,657,183-138,658,316
hs701	RPL23P8-SP4	chr7:21,084,342-21,085,460	chr12:119,885,720-119,886,834
hs702	LINC01103-LINC01114	chr2:105,132,815-105,133,830	chr1:42,422,613-42,423,612
hs704	MBIP-SFTA3	chr14:36,933,150-36,934,532	chr12:57,582,954-57,584,331
hs705	MIR4251-ARHGEF16	chr1:3,190,581-3,191,428	chr4:153,830,403-153,831,276
hs710	ARRDC3-AS1-NR2F1-AS1	chr5:91,299,247-91,300,165	chr13:80,334,257-80,335,145
hs712	AGPAT9-NKX6-1	chr4:84,700,011-84,701,265	chr5:101,460,973-101,462,242
hs713	MIR4529-LOC101927273	chr18:53,530,668-53,531,881	chr18:69,284,214-69,285,465
hs715	RNF219-AS1(intragenic)	chr13:78,866,759-78,868,299	chr14:104,589,612-104,591,185
hs716	ZFPM2(intragenic)	chr8:106,744,003-106,745,324	chr15:40,871,250-40,872,561
hs717	MIR6073-C11orf58	chr11:16,377,777-16,379,090	chr7:122,968,042-122,969,346
hs718	TMEM182-LOC100287010	chr2:104,577,108-104,578,173	chr1:41,868,641-41,869,813
hs719	TEX41-PABPC1P2	chr2:147,260,541-147,261,416	chr2:47,118,852-47,119,715
hs720	FOXP2(intragenic)	chr7:113,793,545-113,794,562	chr6:14,930,242-14,931,244
hs721	URI1-ZNF536	chr19:30,574,387-30,575,360	chr7:38,681,481-38,682,454
hs722	TLE4-TLE1	chr9:84,009,516-84,010,866	chr4:71,500,717-71,502,104
hs723	LOC101928035-PSMD7	chr16:74,308,568-74,309,245	chr8:110,127,023-110,127,692
hs725	EHBP1(intragenic)	chr2:63,268,014-63,269,313	chr11:21,910,040-21,911,282
hs726	TMPRSS15-LOC101927797	chr21:19,814,334-19,815,155	NULL
hs727	LINC00844-PHYHIPL	chr10:60,791,178-60,792,149	chr10:70,196,132-70,197,135
hs728	LOC101927700-TSHZ2	chr20:51,277,336-51,277,988	chr2:169,162,594-169,163,685
hs729	ETV4-MEOX1	chr17:41,668,736-41,669,927	chr11:101,691,141-101,692,328
hs730	ETV4-MEOX1	chr17:41,640,235-41,640,900	chr11:101,662,726-101,663,437
hs731	ETV4-MEOX1	chr17:41,705,022-41,706,087	chr11:101,728,615-101,729,601
hs733	ZNF407(intragenic)	chr18:72,736,412-72,737,599	chr18:84,411,460-84,412,617
hs734	GPATCH2(intragenic)	chr1:217,766,122-217,767,351	chr1:189,072,156-189,073,348
hs736	MIR4307-LINC00645	chr14:28,036,097-28,036,839	chr12:49,111,960-49,112,701
hs737	MKI67-MGMT	chr10:130,366,868-130,368,005	chr7:143,274,888-143,276,032
hs738	MDFIC-TFEC	chr7:115,295,267-115,296,597	chr6:16,480,409-16,481,733
hs739	ZIC1-AGTR1	chr3:147,793,207-147,794,247	chr9:90,595,043-90,596,110
hs740	ZNF521(intragenic)	chr18:22,767,257-22,768,478	chr18:13,967,918-13,969,227
hs741	RSRC1(intragenic)	chr3:157,903,310-157,904,642	chr3:66,874,217-66,875,516
hs742	PEX2-PKIA	chr8:78,042,571-78,044,201	chr3:5,754,492-5,756,119
hs743	SH3BGRL-POU3F4	chrX:81,021,280-81,022,049	chrX:106,822,295-106,823,058
hs744	LOC101927273(intragenic)	chr18:53,567,879-53,568,822	chr18:69,255,489-69,256,442
hs746	STX18(intragenic)	chr4:4,522,867-4,524,050	chr5:38,451,486-38,452,660
hs747	DACH1-MZT1	chr13:72,768,988-72,770,449	chr14:98,933,143-98,934,621
hs748	C10orf11-KCNMA1	chr10:78,390,590-78,391,875	chr14:23,913,849-23,915,139
hs749	ARL4A-ETV1	chr7:13,450,920-13,451,719	chr12:40,068,376-40,069,166
hs750	TBC1D5(intragenic)	chr3:17,608,555-17,609,487	chr17:51,201,795-51,202,736
hs752	SPATA31D1-RASEF	chr9:84,946,893-84,948,036	chr4:72,427,164-72,428,294
hs753	C10orf128-C10orf71-AS1	chr10:50,413,448-50,414,305	chr14:33,583,860-33,584,708
hs754	LOC102467074-LINC01019	chr5:3,197,865-3,198,942	chr13:72,425,885-72,426,931
hs755	GPR101-ZIC3	chrX:136,316,806-136,317,871	chrX:54,962,304-54,963,365
hs756	TOX-CA8	chr8:60,543,031-60,544,205	chr4:7,494,555-7,495,689
hs759	MIR548AS-DAOA-AS1	chr13:106,015,598-106,016,927	chr8:7,439,758-7,441,123
hs760	TEX41-PABPC1P2	chr2:146,697,738-146,698,645	chr2:46,530,123-46,530,992
hs762	LOC100422212-PBX1	chr1:163,441,941-163,442,842	chr1:171,315,525-171,316,428
hs764	LINC00466(intragenic)	chr1:63,665,219-63,666,122	chr4:99,240,573-99,241,457
hs765	LOC101927450-TLE4	chr9:81,823,297-81,824,667	chr19:15,014,325-15,015,772
hs768	ZFPM2(intragenic)	chr8:106,611,425-106,612,483	chr15:40,755,413-40,756,471
hs769	LOC441204(intragenic)	chr7:26,524,662-26,525,636	chr6:51,658,575-51,659,542
hs770	SOX3-LINC00632	chrX:139,593,502-139,594,774	chrX:58,152,152-58,153,419
hs771	BUB3-GPR26	chr10:125,108,319-125,109,394	chr7:138,904,276-138,905,342
hs772	CYP7B1-LINC00251	chr8:65,783,977-65,785,137	chr3:18,241,076-18,242,204
hs773	TEX41-PABPC1P2	chr2:147,289,398-147,290,668	chr2:47,157,550-47,158,853
hs774	ZFHX4(intragenic)	chr8:77,690,683-77,691,779	chr3:5,329,674-5,330,756
hs775	ATP9B(intragenic)	chr18:77,010,009-77,010,795	chr18:81,008,176-81,008,914
hs776	ANP32AP1-DPH6	chr15:35,545,322-35,546,846	chr2:114,237,185-114,238,757
hs777	TEX41-PABPC1P2	chr2:146,057,507-146,058,645	chr2:45,777,420-45,778,569
hs778	BRIP1(intragenic)	chr17:59,893,119-59,894,141	chr11:85,980,594-85,981,606
hs779	LOC101927285-MIR4432	chr2:60,352,514-60,353,602	chr11:24,327,204-24,328,274
hs781	FGF17-DMTN	chr8:21,907,426-21,908,282	chr14:71,034,305-71,035,125
hs782	FGF17(intragenic)	chr8:21,901,089-21,902,326	chr14:71,039,797-71,041,000
hs783	XPO7(intragenic)	chr8:21,845,388-21,846,455	chr14:71,083,601-71,084,646
hs784	RSRC1(intragenic)	chr3:158,245,851-158,246,580	chr3:67,144,569-67,145,324
hs785	MIR3666-MDFIC	chr7:114,381,553-114,382,837	chr6:15,436,410-15,437,741
hs787	DEFB112-TFAP2D	chr6:50,552,252-50,554,393	chr1:18,945,363-18,947,585
hs788	MAPKAP1(intragenic)	chr9:128,395,759-128,396,938	chr2:34,317,627-34,318,802
hs789	MEF2C-AS1-MIR3660	chr5:88,673,410-88,674,494	chr13:83,110,257-83,111,345
hs790	MIR3659-LOC339442	chr1:38,662,809-38,664,040	chr4:124,197,374-124,198,608
hs791	PRKD1-G2E3	chr14:30,989,066-30,990,943	chr12:52,375,149-52,377,016
hs792	MIR3666-MDFIC	chr7:114,395,170-114,396,591	chr6:15,450,356-15,451,750
hs793	PER4-NDUFA4	chr7:10,684,318-10,685,359	chr6:11,484,744-11,485,814
hs794	GPD2-GALNT5	chr2:158,005,545-158,006,521	chr2:57,731,298-57,732,258
hs795	C10orf11(intragenic)	chr10:77,683,451-77,684,636	chr14:23,276,496-23,277,783
hs796	GPR180-SOX21	chr13:95,313,852-95,315,441	chr14:118,593,058-118,594,652
hs797	MIR5583-1-LOC101927900	chr18:37,498,660-37,499,574	chr18:28,320,059-28,321,067
hs798	DERA(intragenic)	chr12:16,170,590-16,171,824	chr6:137,772,070-137,773,298
hs799	NXPH1-PER4	chr7:9,271,308-9,272,358	chr6:9,784,714-9,785,886
hs800	SPATA31D1-RASEF	chr9:84,978,274-84,979,131	chr4:72,460,696-72,461,574
hs801	PEX2-PKIA	chr8:79,006,151-79,007,727	chr3:6,886,387-6,887,953
hs802	SKOR2-SMAD2	chr18:45,069,104-45,069,792	chr18:76,812,575-76,813,222
hs803	KCNJ3-AC093375.1	chr2:156,399,791-156,401,487	chr2:56,106,394-56,108,127
hs804	LRP12-ZFPM2	chr8:106,101,923-106,103,435	chr15:40,306,805-40,308,328
hs805	TEX41-PABPC1P2	chr2:147,333,773-147,334,965	chr2:47,189,792-47,190,964
hs806	ARRDC3-AS1-NR2F1-AS1	chr5:91,318,623-91,319,730	chr13:80,311,979-80,313,164
hs807	CDCA7L-RAPGEF5	chr7:22,091,362-22,092,557	chr12:119,044,146-119,045,319
hs808	SMIM21-LOC339298	chr18:73,570,346-73,571,156	chr18:83,622,070-83,622,891
hs809	LMO4(intragenic)	chr1:87,795,192-87,796,737	chr3:143,865,977-143,867,509
hs810	TMEM182-LOC100287010	chr2:103,559,966-103,560,972	chr1:41,024,124-41,025,120
hs811	ANXA1-MIR6130	chr9:76,183,997-76,184,631	chr19:20,088,464-20,089,090
hs812	C15orf41(intragenic)	chr15:36,966,132-36,967,531	chr2:115,484,017-115,485,448
hs813	EBF1(intragenic)	chr5:158,143,424-158,144,725	chr11:44,800,663-44,801,964
hs815	C10orf11(intragenic)	chr10:78,301,864-78,302,766	chr14:23,859,785-23,860,700
hs816	DGKB(intragenic)	chr7:14,379,627-14,380,740	chr12:39,162,121-39,163,231
hs817	TRIP4-ZNF609	chr15:64,753,430-64,754,564	chr9:65,673,795-65,674,917
hs818	PBX3(intragenic)	chr9:128,520,992-128,522,653	chr2:34,214,751-34,216,394
hs819	ACACA(intragenic)	chr17:35,474,054-35,475,155	chr11:84,189,507-84,190,611
hs821	ZNF536(intragenic)	chr19:30,892,408-30,893,525	chr7:38,385,156-38,386,273
hs822	LOC101927285-MIR4432	chr2:60,077,064-60,078,749	chr11:24,663,882-24,665,491
hs823	LINC00331-RBM26	chr13:79,572,260-79,573,591	chr14:105,233,460-105,234,746
hs824	ZNF407(intragenic)	chr18:72,567,672-72,569,282	chr18:84,541,446-84,543,037
hs825	SATB1-KCNH8	chr3:18,916,569-18,917,473	chr17:52,469,177-52,470,077
hs826	PTF1A-C10orf115	chr10:23,490,838-23,491,508	chr2:19,376,653-19,377,316
hs827	AUTS2(intragenic)	chr7:69,881,761-69,882,691	chr5:132,270,184-132,271,134
hs828	C15orf41(intragenic)	chr15:36,964,819-36,966,098	chr2:115,482,694-115,483,984
hs829	RANBP17(intragenic)	chr5:170,583,493-170,584,421	chr11:33,242,866-33,243,782
hs830	MIR8063-TMCO5A	chr15:38,159,507-38,161,007	chr2:116,633,465-116,634,988
hs831	LOC102724321-LOC102800447	chr2:67,281,257-67,282,540	chr11:18,256,949-18,258,285
hs832	RSRC1(intragenic)	chr3:158,201,553-158,202,329	chr3:67,113,592-67,114,365
hs833	AUTS2(intragenic)	chr7:69,980,613-69,981,299	chr5:132,169,517-132,170,240
hs834	KCNU1-ZNF703	chr8:37,495,309-37,496,204	chr8:28,024,468-28,025,353
hs836	LOC101927285-MIR4432	chr2:59,540,640-59,541,937	chr11:25,187,254-25,188,542
hs838	CYP7B1-LINC00251	chr8:65,828,869-65,829,844	chr3:18,278,051-18,279,010
hs839	TBC1D5-LOC339862	chr3:17,987,632-17,988,945	chr17:51,509,811-51,511,097
hs840	LOC100144602-LOC101927237	chr4:66,989,480-66,990,366	chr5:85,240,355-85,241,286
hs841	KIAA1598-VAX1	chr10:118,854,124-118,855,243	chr19:59,207,451-59,208,587
hs842	LINC01085-CPEB2-AS1	chr4:14,268,833-14,269,924	chr5:42,914,188-42,915,270
hs843	LINC01210-CLDN18	chr3:137,638,911-137,640,108	chr9:99,673,673-99,674,857
hs844	SP8-RPL23P8	chr7:20,832,628-20,833,902	chr12:120,078,517-120,079,917
hs845	MIR744-LINC00670	chr17:12,375,783-12,376,586	chr11:65,248,967-65,249,748
hs846	AUTS2(intragenic)	chr7:69,891,243-69,892,028	chr5:132,256,762-132,257,507
hs847	BEND4(intragenic)	chr4:42,150,091-42,151,064	chr5:67,814,944-67,815,908
hs848	SALL1-LOC101927364	chr16:51,491,799-51,493,025	chr8:91,847,783-91,849,077
hs849	MRM1-LHX1	chr17:35,057,889-35,058,730	chr11:84,539,329-84,540,104
hs850	LOC339442-RRAGC	chr1:39,291,500-39,292,441	chr4:123,626,035-123,626,947
hs851	MIR4318-LINC00669	chr18:36,763,763-36,764,791	chr18:27,655,808-27,656,843
hs852	FLJ41200-LINC00583	chr9:13,750,115-13,751,398	chr4:81,606,321-81,607,769
hs853	CCNH-TMEM161B	chr5:87,083,012-87,084,752	chr13:84,890,969-84,892,679
hs854	FOXP1(intragenic)	chr3:71,052,376-71,053,246	chr6:98,918,185-98,919,071
hs855	DKFZp686K1684-RCN1	chr11:31,989,173-31,990,022	chr2:105,356,012-105,356,868
hs856	AFF2(intragenic)	chrX:147,829,016-147,830,159	chrX:66,876,581-66,877,721
hs858	URI1-ZNF536	chr19:30,747,057-30,748,648	chr7:38,528,034-38,529,625
hs859	AKTIP-RPGRIP1L	chr16:53,563,054-53,564,455	chr8:93,694,546-93,695,959
hs860	LOC285084-SP9	chr2:175,196,043-175,197,114	chr2:73,106,475-73,107,553
hs861	MDFIC-TFEC	chr7:115,262,750-115,264,769	chr6:16,432,618-16,434,681
hs863	IMMP1L(intragenic)	chr11:31,502,035-31,503,157	chr2:105,753,493-105,754,643
hs864	FOXP1(intragenic)	chr3:71,034,389-71,035,430	chr6:98,902,030-98,903,082
hs865	TFAP2D(intragenic)	chr6:50,685,244-50,686,237	chr1:19,096,815-19,097,793
hs866	DKFZp686K1684-RCN1	chr11:32,052,398-32,053,496	chr2:105,287,449-105,288,559
hs868	MRPS9(intragenic)	chr2:105,697,211-105,698,158	chr1:42,945,168-42,946,091
hs870	THEG5-CTC-360P9.3	chr19:32,208,758-32,209,473	chr7:37,116,271-37,117,018
hs871	SH3BGRL-POU3F4	chrX:81,697,630-81,698,245	chrX:107,164,987-107,165,701
hs872	SORL1-MIR100HG	chr11:121,799,771-121,801,171	chr9:41,543,546-41,544,919
hs873	CLPB(intragenic)	chr11:72,080,520-72,081,501	chr7:108,862,040-108,863,066
hs874	OR7E156P-PCDH9	chr13:65,102,774-65,103,757	chr14:91,508,189-91,509,142
hs876	PRDM12(intragenic)	chr9:133,540,555-133,541,228	chr2:31,496,164-31,496,831
hs877	C7orf72-IKZF1	chr7:50,219,464-50,220,288	chr11:11,427,970-11,428,773
hs878	LOC100505768-LOC101927891	chr1:88,615,687-88,616,927	chr3:143,073,982-143,075,204
hs879	MBIP-SFTA3	chr14:36,893,320-36,894,326	chr12:57,541,783-57,542,814
hs880	MIR4318-LINC00669	chr18:36,024,488-36,025,531	chr18:26,896,858-26,897,890
hs881	OR7E156P-PCDH9	chr13:66,609,799-66,610,748	chr14:93,077,734-93,078,724
hs882	ATXN8OS-LINC00348	chr13:71,533,037-71,534,195	chr14:97,728,734-97,729,899
hs883	MIR6073-C11orf58	chr11:16,311,593-16,312,881	chr7:122,888,681-122,889,915
hs885	ATP9B(intragenic)	chr18:77,043,189-77,044,144	chr18:80,984,381-80,985,304
hs886	LINC01099-LINC00290	chr4:181,201,559-181,202,529	chr8:51,793,522-51,794,489
hs887	LPP-AS1-TPRG1	chr3:188,857,183-188,858,023	chr16:25,255,465-25,256,294
hs890	LOC101929570-FIGN	chr2:164,349,676-164,351,112	chr2:63,715,777-63,717,249
hs891	HNF4G-LINC01111	chr8:76,960,017-76,961,714	chr3:4,376,459-4,378,146
hs895	SOX5-MIR920	chr12:24,233,884-24,235,634	chr6:144,260,814-144,262,540
hs897	BTRC(intragenic)	chr10:103,245,010-103,246,610	chr19:45,549,927-45,551,451
hs900	LOC102467074(intragenic)	chr5:3,179,614-3,180,432	chr13:72,442,516-72,443,315
hs901	ZCCHC7(intragenic)	chr9:37,251,207-37,252,223	chr4:44,864,502-44,865,477
hs902	LOC389895-SOX3	chrX:139,380,916-139,382,199	chrX:57,996,968-57,998,237
hs904	HHIP-ANAPC10	chr4:145,860,001-145,861,281	chr8:82,361,527-82,362,575
hs905	HHIP(intragenic)	chr4:145,568,248-145,569,955	chr8:82,579,334-82,581,034
hs906	GYPA-HHIP-AS1	chr4:145,276,813-145,278,719	chr8:82,837,945-82,839,839
hs908	NIPAL2-KCNS2	chr8:99,428,481-99,429,432	chr15:34,758,573-34,759,471
hs909	MIR875-COX6C	chr8:100,680,409-100,681,809	chr15:35,677,743-35,678,974
hs910	FMN1(intragenic)	chr15:33,091,527-33,092,659	chr2:113,531,699-113,532,801
hs911	LOC101927700-TSHZ2	chr20:51,552,465-51,554,077	chr2:169,425,244-169,426,898
hs914	LOC101929591-XRN2	chr20:21,214,790-21,217,232	chr2:146,783,502-146,786,549
hs915	RNF219-AS1(intragenic)	chr13:78,976,015-78,977,338	chr14:104,696,577-104,697,889
hs916	RAB28-LINC01097	chr4:13,517,497-13,519,167	chr5:42,128,859-42,130,537
hs917	ZNF362(intragenic)	chr1:33,722,494-33,723,960	chr4:128,481,590-128,483,033
hs918	LEF1(intragenic)	chr4:109,062,224-109,063,783	chr3:130,839,255-130,840,776
hs919	TRPS1(intragenic)	chr8:116,430,695-116,432,527	chr15:50,496,379-50,498,196
hs920	RBFOX1-TMEM114	chr16:8,458,833-8,459,721	chr16:8,223,699-8,224,569
hs921	AGAP1(intragenic)	chr2:236,962,599-236,964,857	chr1:91,744,283-91,746,520
hs922	BCAS3(intragenic)	chr17:59,328,477-59,330,195	chr11:85,526,205-85,527,570
hs923	PCTP-ANKFN1	chr17:54,206,719-54,208,426	chr11:89,579,112-89,580,824
hs924	SMG6-LOC101927839	chr17:2,081,998-2,084,289	chr11:74,859,658-74,861,838
hs925	AUTS2(intragenic)	chr7:70,103,123-70,104,331	chr5:132,056,245-132,058,241
hs926	PITX2-C4orf32	chr4:112,668,302-112,669,915	chr3:127,933,033-127,934,684
hs927	PITX2-C4orf32	chr4:112,035,956-112,037,560	chr3:128,422,028-128,423,649
hs928	PITX2-C4orf32	chr4:112,556,474-112,558,292	chr3:128,046,004-128,047,707
hs929	PITX2-C4orf32	chr4:111,834,455-111,835,732	chr3:128,628,839-128,630,035
hs930	PITX2-C4orf32	chr4:111,669,259-111,671,168	chr3:128,806,723-128,808,628
hs931	PITX2-C4orf32	chr4:112,130,976-112,132,385	chr3:128,371,444-128,372,918
hs932	IRF6-DIEXF	chr1:209,989,050-209,989,824	chr1:194,967,242-194,967,917
hs933	HOXB-AS3-HOXB7	chr17:46,682,250-46,682,768	chr11:96,153,379-96,153,893
hs934	KIAA1598-VAX1	chr10:118,855,697-118,856,749	chr19:59,209,039-59,210,067
hs935	EMX2-RAB11FIP2	chr10:119,310,483-119,311,458	chr19:59,541,226-59,542,178
hs936	SATB1-KCNH8	chr3:19,027,747-19,029,355	chr17:52,598,809-52,600,417
hs937	VRK2(intragenic)	chr2:58,146,107-58,147,489	chr11:26,673,588-26,674,876
hs938	LINC01103-LINC01114	chr2:105,187,861-105,188,859	chr1:42,479,986-42,480,856
hs939	LBX1-AS1-BTRC	chr10:103,094,612-103,095,386	chr19:45,417,343-45,418,175
hs940	SKP1P2-MIR3974	chr12:17,710,284-17,711,214	chr6:139,122,669-139,123,319
hs941	MIR8065-RBFOX1	chr16:5,791,187-5,792,173	chr16:5,663,766-5,664,762
hs942	DEFB112-TFAP2D	chr6:50,126,514-50,127,963	chr1:18,378,869-18,380,339
hs943	SYT1(intragenic)	chr12:79,739,233-79,740,570	chr10:108,024,913-108,026,418
hs944	C14orf23-MIR548AI	chr14:29,613,303-29,614,728	chr12:50,987,721-50,989,055
hs945	TIAM1(intragenic)	chr21:32,650,843-32,651,711	chr16:89,909,730-89,910,585
hs946	LOC101927285-MIR4432	chr2:60,317,429-60,318,194	chr11:24,374,193-24,374,926
hs947	LOC400654-CDH7	chr18:63,078,262-63,078,839	chr1:111,410,826-111,411,431
hs948	LRBA(intragenic)	chr4:151,288,357-151,289,369	chr3:86,503,745-86,504,827
hs950	LOC101927619-SATB2	chr2:199,681,972-199,683,281	chr1:56,459,891-56,461,158
hs951	SORCS3-AS1-SORCS1	chr10:107,319,200-107,319,911	chr19:49,202,146-49,202,811
hs952	ARRDC3-AS1-NR2F1-AS1	chr5:91,442,456-91,444,549	chr13:80,138,929-80,141,010
hs953	SP9-CIR1	chr2:175,203,263-175,204,895	chr2:73,113,651-73,115,241
hs954	FOXP2(intragenic)	chr7:114,287,987-114,290,557	chr6:15,349,348-15,351,975
hs956	MIR3666-MDFIC	chr7:114,299,711-114,302,078	chr6:15,361,326-15,363,759
hs957	BCL11A(intragenic)	chr2:60,761,404-60,763,073	chr11:23,995,054-23,996,665
hs958	TMEM182-LOC100287010	chr2:104,060,734-104,062,561	chr1:41,483,496-41,485,434
hs960	LOC100287010-LINC01102	chr2:105,047,627-105,048,798	chr1:42,315,502-42,316,695
hs961	C7orf72-IKZF1	chr7:50,333,048-50,334,464	chr11:11,575,624-11,577,030
hs962	ZNF521(intragenic)	chr18:22,747,310-22,748,975	chr18:13,948,117-13,949,807
hs965	FOXP1(intragenic)	chr3:71,099,157-71,100,851	chr6:98,962,959-98,964,595
hs966	MIR3666-MDFIC	chr7:114,326,912-114,329,772	chr6:15,385,024-15,387,812
hs967	ASCL1-C12orf42	chr12:103,484,342-103,485,519	chr10:86,851,451-86,852,638
hs969	LINC01103-LINC01114	chr2:105,317,580-105,319,856	chr1:42,595,564-42,597,875
hs970	PBX1(intragenic)	chr1:164,672,787-164,674,206	chr1:170,224,922-170,226,868
hs971	ARRDC3-AS1-NR2F1-AS1	chr5:91,970,162-91,972,034	chr13:79,484,078-79,485,978
hs972	IKZF1(intragenic)	chr7:50,357,638-50,358,644	chr11:11,599,173-11,600,208
hs973	FOXP1-MIR1284	chr3:71,507,469-71,508,874	chr6:99,353,913-99,355,372
hs974	TLE4-TLE1	chr9:83,412,700-83,413,972	chr4:70,791,938-70,793,169
hs975	LINC01122-LOC101927285	chr2:59,304,974-59,306,893	chr11:25,429,955-25,431,889
hs977	TMEM182-LOC100287010	chr2:104,063,598-104,065,812	chr1:41,486,325-41,488,962
hs978	LOC101927314(intragenic)	chr6:97,754,043-97,755,513	chr4:24,356,000-24,357,444
hs980	MIR3974-RERGL	chr12:17,848,111-17,849,347	chr6:139,241,808-139,243,072
hs981	NEUROG2-ZGRF1	chr4:113,442,390-113,443,530	chr3:127,329,759-127,330,822
hs982	ARRDC3-AS1-NR2F1-AS1	chr5:90,785,763-90,787,167	chr13:80,895,981-80,897,500
hs983	PBX3(intragenic)	chr9:128,525,348-128,527,214	chr2:34,210,210-34,212,067
hs984	MBIP-SFTA3	chr14:36,907,561-36,909,195	chr12:57,555,735-57,557,264
hs985	LOC101927314-MIR2113	chr6:98,382,462-98,383,929	chr4:23,640,552-23,642,077
hs987	PBX3-MVB12B	chr9:128,869,446-128,870,934	chr2:33,920,352-33,922,048
hs988	LOC100505768-LOC101927891	chr1:88,875,731-88,877,192	chr3:142,796,968-142,798,327
hs989	ARRDC3-AS1-NR2F1-AS1	chr5:90,768,370-90,769,843	chr13:80,927,298-80,928,968
hs990	LINC01159-LOC102724691	chr2:105,516,737-105,518,490	chr1:42,797,500-42,799,241
hs992	LOC100505663-MAFB	chr20:38,862,746-38,864,025	chr2:159,811,735-159,813,372
hs993	SKP1P2-MIR3974	chr12:17,311,784-17,313,759	chr6:138,820,526-138,822,585
hs995	LOC101927314-MIR2113	chr6:98,278,782-98,280,694	chr4:23,737,616-23,739,291
hs996	MAFB-TOP1	chr20:39,483,347-39,484,593	chr2:160,339,406-160,340,600
hs997	FOXP1-MIR1284	chr3:71,499,477-71,500,970	chr6:99,344,906-99,346,378
hs998	ASCL1-C12orf42	chr12:103,406,124-103,408,154	chr10:86,909,379-86,911,404
hs999	FOXP2(intragenic)	chr7:114,142,132-114,143,527	chr6:15,207,106-15,208,522
hs1000	PBX3(intragenic)	chr9:128,666,411-128,667,552	chr2:34,090,688-34,091,809
hs1001	LOC339442-RRAGC	chr1:38,712,075-38,713,517	chr4:124,154,699-124,156,497
hs1002	LOC100505768-LOC101927891	chr1:88,108,084-88,109,396	chr3:143,576,894-143,578,252
hs1003	NCR2-FOXP4	chr6:41,434,455-41,435,695	chr17:48,147,514-48,148,669
hs1004	TLE4-TLE1	chr9:82,681,268-82,682,692	chr19:14,197,731-14,199,119
hs1005	HMX3-HMX2	chr10:124,902,927-124,904,638	chr7:138,693,241-138,694,836
hs1006	WNT8B-SEC31B	chr10:102,244,842-102,246,334	chr19:44,588,622-44,590,360
hs1007	RPL23P8-SP4	chr7:20,997,668-20,999,102	chr12:119,963,922-119,965,376
hs1008	LOC339442-RRAGC	chr1:38,735,942-38,737,376	chr4:124,132,320-124,133,599
